keyword,seed,found_via,search_volume,difficulty,yoy_change,peak_month,cpc_value,cpc_currency,serp_features
režim ai,režim ai,"default,trending",13000,,270042.99,2026-06-01,4.55,CZK,
rezim ai,režim ai,"default,trending",8900,,270042.99,2026-06-01,4.55,CZK,
ai režim,režim ai,default,1000,,0.0,2026-07-01,5.22,CZK,
režim ai google,režim ai,default,870,,0.0,2026-05-01,4.85,CZK,
jak zapnout režim ai,režim ai,"default,questions",260,,0.0,2026-07-01,5.93,CZK,
režim ai mode,režim ai,"default,new",30,,999900.0,2026-02-01,0.0,CZK,
rezim ai google,režim ai,"default,new",20,,999900.0,2026-03-01,0.0,CZK,
